TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
함목몽돌해변,경상남도 거제시 남부면 갈곶리,http://tong.visitkorea.or.kr/cms/resource/26/3372326_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/26/3372326_image3_1.JPG,852439,12,0,,A01,A0101,A01011200,Type3,128.6529827060,34.7402230150,6,20091031010242,20250316200426,,36,1
하트해변,경상북도 울진군 죽변면 등대길 74-14,http://tong.visitkorea.or.kr/cms/resource/60/3372260_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/3372260_image3_1.jpg,2753965,12,0,,A01,A0101,A01011200,Type1,129.4285431897,37.0591060004,6,20211006232455,20250314152204,,35,18
민머루해변,인천광역시 강화군 삼산면 어류정길212번길,http://tong.visitkorea.or.kr/cms/resource/77/3303277_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3303277_image3_1.jpg,128818,12,0,(삼산면) 일대,A01,A0101,A01011200,Type3,126.3328054311,37.6515995762,6,20060308090000,20250313162820,,2,1
띠섬목해변,충청남도 서천군 서면 신합리 산59-10,http://tong.visitkorea.or.kr/cms/resource/64/3401264_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3401264_image3_1.jpg,2732545,12,0,,A01,A0101,A01011200,Type3,126.5558841182,36.1351508331,6,20210810233529,20250313134757,,34,8
공현진1리해변,강원특별자치도 고성군 죽왕면,http://tong.visitkorea.or.kr/cms/resource/73/483073_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/483073_image3_1.jpg,126787,12,0,공현진1리,A01,A0101,A01011200,Type3,128.5106302561,38.3508443520,6,20030710090000,20250313092159,,32,2
금진해변,강원특별자치도 강릉시 옥계면 헌화로 271,http://tong.visitkorea.or.kr/cms/resource/21/3374321_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/21/3374321_image3_1.JPG,585605,12,0,,A01,A0101,A01011200,Type3,129.0435125440,37.6395761724,6,20080711020625,20250311160419,,32,1
방아머리해변,경기도 안산시 단원구 대부북동,http://tong.visitkorea.or.kr/cms/resource/57/3480757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/3480757_image3_1.jpg,2663631,12,0,(대부북동),A01,A0101,A01011200,Type3,126.5774902727,37.2895792948,6,20200715232005,20250307162327,,31,15
만성리 검은모래해변,전라남도 여수시 만성리길 15-1,http://tong.visitkorea.or.kr/cms/resource/64/3306364_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/3306364_image3_1.jpg,127547,12,0,,A01,A0101,A01011200,Type3,127.7447914615,34.7771528453,6,20031222090000,20250306135214,,38,13
사천진해변(사천뒷불해수욕장),강원특별자치도 강릉시 사천면 진리해변길 111,http://tong.visitkorea.or.kr/cms/resource/11/3341411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3341411_image3_1.jpg,585526,12,0,,A01,A0101,A01011200,Type3,128.8753492114,37.8412245725,6,20080711010446,20250306103554,,32,1
몽돌해수욕장 (몽돌해변),전북특별자치도 군산시 옥도면 선유도1길 238-7,http://tong.visitkorea.or.kr/cms/resource/41/3362741_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/3362741_image3_1.JPG,2759671,12,0,,A01,A0101,A01011200,Type3,126.4022890673,35.8284888289,6,20211020193841,20250305101811,,37,2
남항진해변(남항진해수욕장),강원특별자치도 강릉시 공항길127번길 67 (남항진동),http://tong.visitkorea.or.kr/cms/resource/38/3341438_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/3341438_image3_1.jpg,125691,12,0,,A01,A0101,A01011200,Type3,128.9543444876,37.7640239384,6,20040227090000,20250304164856,,32,1
양양 낙산해변 달빛 모닥불축제,강원특별자치도 양양군 강현면 해맞이길 59,http://tong.visitkorea.or.kr/cms/resource/78/3472278_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3472278_image3_1.jpg,3472311,15,,낙산해변,A02,A0207,A02070200,Type3,128.6339069192,38.1169767617,6,20250203172952,20250203174713,033-671-7888<br>033-671-7802,32,7
오천몽돌해변,전라남도 고흥군 금산면 오천리,http://tong.visitkorea.or.kr/cms/resource/44/2797644_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2797644_image3_1.jpg,2784733,12,0,,A01,A0101,A01011200,Type3,127.2047168063,34.4303352085,6,20211201225341,20250121155206,,38,2
내수전몽돌해변,경상북도 울릉군 울릉읍 저동리,http://tong.visitkorea.or.kr/cms/resource/80/3465380_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3465380_image3_1.jpg,1932815,12,0,,A01,A0101,A01011200,Type3,130.9136390666,37.5073514326,6,20140709195727,20250109110425,,35,17
민락해변공원,부산광역시 수영구 민락동,http://tong.visitkorea.or.kr/cms/resource/58/3014358_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/3014358_image3_1.JPG,3014437,12,,,A02,A0202,A02020700,Type3,129.1234195429,35.1553990814,6,20230922122719,20250108162315,,6,12
봉수대해변캠핑장,강원특별자치도 고성군 죽왕면 봉수대길 10-22,http://tong.visitkorea.or.kr/cms/resource/98/2793198_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2793198_image2_1.jpg,2792202,28,,,A03,A0302,A03021700,Type3,128.5264213195,38.3242505381,6,20211211015723,20250106175238,,32,2
해변짚불곰장어,부산광역시 기장군 기장읍 공수2길 11,http://tong.visitkorea.or.kr/cms/resource/92/1902292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1902292_image3_1.jpg,1805619,39,,,A05,A0502,A05020100,Type3,129.2115943834,35.1854362421,6,20130418220321,20250103102116,051-721-4539,6,3
종달리해변,제주특별자치도 제주시 구좌읍 종달리,http://tong.visitkorea.or.kr/cms/resource/69/2799769_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2799769_image2_1.jpg,2779457,12,0,,A01,A0101,A01011200,Type3,126.9097146979,33.4963286013,6,20211125185219,20241220142400,,39,4
조금나루해변,전라남도 무안군 망운면 조금나루길 297,http://tong.visitkorea.or.kr/cms/resource/68/2796568_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2796568_image2_1.jpg,2778169,12,0,,A01,A0101,A01011200,Type3,126.3348740626,34.9948462221,6,20211123223454,20241219113609,,38,9
띠밭넘어해변,전라남도 신안군 도초면 우이도리,http://tong.visitkorea.or.kr/cms/resource/29/1826929_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1826929_image3_1.jpg,129205,12,0,,A01,A0101,A01011200,Type3,125.8426931271,34.6235384736,6,20060821090000,20241210164437,,38,12
명파해변,강원특별자치도 고성군 현내면,http://tong.visitkorea.or.kr/cms/resource/88/2922088_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2922088_image3_1.jpg,126776,12,0,(현내면),A01,A0101,A01011200,Type3,128.4051115865,38.5439669684,6,20030710090000,20241209160346,,32,2
사천해변(사천해수욕장),강원특별자치도 강릉시 사천면 사천진리 산 282-1,http://tong.visitkorea.or.kr/cms/resource/21/2922021_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2922021_image3_1.jpg,125696,12,0,,A01,A0101,A01011200,Type3,128.8777243727,37.8291482395,6,20040227090000,20241209153613,,32,1
순포해변,강원특별자치도 강릉시 사천면 해안로 722,http://tong.visitkorea.or.kr/cms/resource/02/2921902_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2921902_image3_1.jpg,2775497,12,0,,A01,A0101,A01011200,Type3,128.8902985428,37.8193190673,6,20211118000027,20241209143734,,32,1
강화 동막해변,인천광역시 강화군 화도면 해안남로 1481,http://tong.visitkorea.or.kr/cms/resource/87/1577287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1577287_image3_1.jpg,127291,12,0,,A01,A0101,A01011200,Type3,126.4570623331,37.5932918804,6,20060302090000,20241209141526,,2,1
강동몽돌해변,울산광역시 북구 산하동,http://tong.visitkorea.or.kr/cms/resource/22/3048822_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3048822_image3_1.jpg,128199,12,0,,A01,A0101,A01011200,Type3,129.4423980082,35.6278381472,6,20071001090000,20241209130712,,7,4
지경리해변,강원특별자치도 양양군 현남면 동해대로 62,http://tong.visitkorea.or.kr/cms/resource/11/2922111_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2922111_image3_1.jpg,125681,12,0,,A01,A0101,A01011200,Type3,128.8032171516,37.9204639845,6,20030710090000,20241209130230,,32,7
광치기해변,제주특별자치도 서귀포시 성산읍 고성리,http://tong.visitkorea.or.kr/cms/resource/75/3400775_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3400775_image3_1.jpg,2564158,12,0,,A01,A0101,A01011200,Type3,126.9239478125,33.4523086956,6,20181025030306,20241209125441,,39,3
